user_id,target_item_id,most_similar_history_item,similarity_to_target,rank,history_length
1,54,8,0.8785064220428467,49,8
2,59,58,0.8288205862045288,772,2
3,66,63,0.8408075571060181,1935,4
4,72,71,0.7738572359085083,14233,3
5,83,81,0.8703547716140747,512,8
6,91,88,0.8397581577301025,4503,5
7,100,97,0.8590659499168396,775,6
8,115,114,0.8800803422927856,1700,8
9,120,119,0.891359806060791,60,2
10,126,124,0.8514893651008606,2543,3
11,137,130,0.8928441405296326,161,8
12,142,141,0.772995114326477,12966,2
13,263,255,0.8437409400939941,1158,8
14,269,267,0.8046146631240845,8447,3
15,274,273,0.9383091330528259,6,2
16,281,278,0.8238803744316101,3670,4
17,288,287,0.8511375188827515,3419,4
18,303,296,0.8781424760818481,87,8
19,385,378,0.8701014518737793,2338,8
20,599,595,0.9687686562538147,1,8
21,603,602,0.850845217704773,548,2
22,610,609,0.87012779712677,1466,4
23,614,537,0.8770449161529541,238,2
24,619,616,0.860358476638794,3364,3
25,627,626,0.8740109801292419,592,6
26,639,635,0.8843153715133667,26,8
27,664,656,0.840760350227356,1271,8
28,626,668,0.8198361396789551,4376,2
29,675,672,0.8834206461906433,174,5
30,110,754,0.8599509596824646,442,8
31,760,759,0.854241669178009,835,3
32,769,764,0.8829514980316162,389,6
33,775,774,0.8853108882904053,139,3
34,780,779,0.7353146076202393,17647,2
35,784,783,0.8718854784965515,232,2
36,843,841,0.8596794605255127,3312,8
37,334,863,0.8379074931144714,5943,8
38,791,883,0.8397433757781982,3532,8
39,533,887,0.8241678476333618,4883,5
40,918,907,0.9522581696510315,12,8
41,923,922,0.8758623600006104,726,2
42,1008,1004,0.8618288040161133,1664,8
43,1021,1017,0.8755943775177002,890,8
44,1034,1029,0.9126636981964111,2,8
45,1113,1057,0.9048007130622864,47,8
46,1124,1122,0.8834956884384155,71,8
47,1134,1129,0.9174800515174866,12,8
48,1141,1137,0.8586342930793762,226,4
49,1146,668,0.8342722654342651,2318,3
50,1152,1149,0.81548011302948,2980,3
51,1156,642,0.8802285194396973,1548,2
52,1160,1158,0.8551715612411499,2532,2
53,825,1164,0.8981006145477295,49,5
54,1172,1169,0.8181343674659729,7040,4
55,1182,1179,0.9252971410751343,146,7
56,1189,1187,0.8837013244628906,85,5
57,1197,1194,0.889738917350769,261,6
58,1208,1201,0.8635058403015137,2948,8
59,1217,1216,0.8609482049942017,1793,8
60,1223,1221,0.8600825071334839,249,3
61,1231,1226,0.9020684957504272,170,5
62,1238,1236,0.8628429174423218,1221,4
63,1275,1267,0.8517941236495972,609,8
64,326,1292,0.8886685967445374,866,8
65,1169,1304,0.8794081211090088,202,6
66,1232,1334,0.8604182004928589,711,8
67,1375,1371,0.8216949701309204,3357,8
68,798,1384,0.8851649761199951,26,8
69,1399,1393,0.8875464200973511,423,8
70,1156,1405,0.8731940984725952,1129,5
71,1411,1408,0.8819403648376465,397,3
72,1416,1413,0.8315725326538086,2800,3
73,1425,1421,0.8482966423034668,3277,6
74,1447,1441,0.8627707958221436,1437,8
75,1450,1449,0.9329624176025391,1,2
76,352,308,0.9118499755859375,57,6
77,1489,1423,0.8735244870185852,1509,8
78,1502,1495,0.8366631865501404,4205,8
79,1508,1505,0.8282812237739563,2898,3
80,1526,1463,0.8852181434631348,59,8
81,1534,1532,0.8472493886947632,4283,6
82,1571,1567,0.8765485286712646,412,8
83,1588,1587,0.9196255207061768,3,8
84,1593,1592,0.8768894076347351,136,3
85,82,1603,0.8731712102890015,64,8
86,1626,1623,0.7942306995391846,7094,8
87,1639,1633,0.8859121799468994,502,8
88,1644,1134,0.7288819551467896,18378,3
89,1665,1664,0.8954789042472839,30,8
90,651,1699,0.9306707978248596,32,8
91,1731,1727,0.8773689270019531,127,8
92,1737,1565,0.9023513793945312,94,8
93,1752,1750,0.9102121591567993,111,8
94,1760,94,0.8975353240966797,49,6
95,1338,1795,0.8690770268440247,869,8
96,1808,1805,0.8319251537322998,1100,4
97,1832,1829,0.886798620223999,463,8
98,1204,879,0.8874830603599548,65,7
99,1854,1850,0.8856886625289917,246,8
100,1859,1858,0.8706783652305603,229,2
101,1867,1866,0.7803810834884644,13496,6
102,1171,1893,0.8908606171607971,86,8
103,1907,1902,0.8399956226348877,5291,8
104,247,1309,0.8954453468322754,3,8
105,1948,763,0.8567003011703491,1655,6
106,1956,1956,1.0,1,8
107,1973,1284,0.8845037221908569,49,8
108,1986,1980,0.8583038449287415,991,8
109,1989,811,0.8366756439208984,3590,3
110,2002,1997,0.8694395422935486,145,8
111,2034,2032,0.8983187675476074,19,8
112,2039,2037,0.8620381355285645,589,2
113,2044,2042,0.8774356842041016,457,5
114,2058,2050,0.9030168056488037,16,8
115,2092,2087,0.8719809651374817,868,8
116,2100,2098,0.8861923813819885,353,8
117,2108,2104,0.8767601847648621,168,6
118,19,1823,0.8564186692237854,1406,8
119,2191,2186,0.8968067765235901,2,8
120,2211,2204,0.8912191390991211,59,8
121,2215,2213,0.8172292113304138,255,3
122,1330,2222,0.8577322959899902,955,8
123,2231,2230,0.8835310935974121,18,2
124,2242,2241,0.8816889524459839,185,8
125,2246,1292,0.8981934189796448,371,2
126,2276,2272,0.68349289894104,19247,8
127,2356,2355,0.847368597984314,467,8
128,152,1226,0.9064989686012268,108,2
129,2366,2364,0.8888940215110779,198,6
130,2407,1274,0.8570113182067871,1511,8
131,2411,2409,0.828245997428894,2719,2
132,2420,2415,0.8759865760803223,564,8
133,2425,2422,0.8591424226760864,435,3
134,1634,616,0.8637075424194336,2918,2
135,2437,2436,0.8841611742973328,1034,8
136,2025,2007,0.8968868255615234,56,8
137,1948,2482,0.8603463172912598,3712,8
138,2490,2488,0.7983337640762329,9954,5
139,2493,2491,0.8449288010597229,447,2
140,2497,2496,0.7129802703857422,18508,3
