user_id,target_item_id,most_similar_history_item,similarity_to_target,rank,history_length
1,5,4,0.7813354730606079,269,4
2,10,9,0.7499382495880127,3297,2
3,20,15,0.8048801422119141,224,7
4,28,27,0.633931040763855,8811,5
5,36,34,0.8828928470611572,14,5
6,45,43,0.8635597229003906,10,6
7,57,52,0.9766445159912109,2,8
8,3,61,0.6205222606658936,9477,2
9,76,70,0.7573012709617615,5823,8
10,81,79,0.7861586809158325,1301,2
11,84,83,0.8716708421707153,215,2
12,141,137,0.7705267667770386,522,8
13,148,144,0.7763710021972656,360,4
14,153,151,0.7480368614196777,2742,2
15,86,157,0.749548077583313,2580,2
16,181,180,0.8550009727478027,124,8
17,186,184,0.8015905618667603,821,2
18,191,190,0.9042720198631287,32,2
19,196,194,0.7146558165550232,4782,2
20,200,38,0.8063720464706421,215,2
21,206,205,0.8595397472381592,142,3
22,149,209,0.7859652042388916,3447,2
23,224,220,0.7568793296813965,2419,8
24,236,234,0.8501957654953003,118,8
25,241,239,0.8574907779693604,47,2
26,248,247,0.6904827952384949,8520,4
27,253,252,0.6382297873497009,10918,2
28,259,258,0.6892412900924683,9144,3
29,9,262,0.9467231631278992,3,3
30,272,271,0.8602278232574463,205,5
31,280,276,0.9069801568984985,55,5
32,285,284,0.7767662405967712,615,3
33,295,291,0.7798933386802673,3870,7
34,300,298,0.7731969356536865,1196,2
35,305,304,0.730420708656311,5917,2
36,313,311,0.8109233975410461,102,5
37,319,317,0.7976625561714172,601,3
38,336,335,0.8587273359298706,166,8
39,351,344,0.6840348243713379,9336,8
40,359,357,0.7854049801826477,502,5
41,368,366,0.9502766728401184,2,6
42,374,373,0.7951816320419312,1738,3
43,379,378,0.815788984298706,453,2
44,384,383,0.9107193946838379,55,2
45,44,388,0.597525954246521,6752,2
46,392,391,0.8940415978431702,7,2
47,398,397,0.7318577766418457,2849,3
48,405,404,0.845102846622467,8,4
49,410,408,0.734299898147583,2658,2
50,416,415,0.8046267032623291,101,5
