user_id,target_item_id,most_similar_history_item,similarity_to_target,rank,history_length
1,6,1,0.7454977035522461,1237,5
2,24,23,0.8293228149414062,55,8
3,45,40,0.7441406846046448,1634,8
4,50,48,0.7617031335830688,1161,2
5,57,55,0.7200040817260742,6877,6
6,146,143,0.7974558472633362,192,8
7,1,149,0.7314350605010986,2901,3
8,156,155,0.59889817237854,13403,2
9,156,164,0.6252435445785522,13625,6
10,156,167,0.8741307258605957,39,7
11,156,177,0.7375431656837463,1686,6
12,189,185,0.8444342613220215,48,5
13,197,195,0.7549344301223755,307,7
14,158,156,0.8533763289451599,139,3
15,223,169,0.846502959728241,20,8
16,238,232,0.7531951665878296,656,8
17,245,244,0.754902720451355,880,7
18,252,249,0.7100698947906494,1949,5
19,255,156,0.7004260420799255,2017,2
20,260,259,0.9731254577636719,1,4
21,266,264,0.7582055926322937,193,4
22,272,269,0.7865949869155884,854,4
23,289,288,0.7887541055679321,239,8
24,295,293,0.6753989458084106,4975,3
25,299,297,0.5378973484039307,17849,2
26,303,48,0.6826963424682617,6667,3
27,281,304,0.8005163669586182,28,2
28,309,308,0.6374500393867493,10503,2
29,329,327,0.800859808921814,774,8
30,281,334,0.7985600233078003,188,3
31,339,281,0.637952446937561,11087,3
32,343,281,0.7894590497016907,262,2
33,347,346,0.9643843173980713,2,2
34,362,361,0.8781975507736206,4,8
35,366,281,0.6366139650344849,11320,2
36,372,369,0.7303982973098755,202,3
37,376,374,0.6528087258338928,10997,2
38,380,379,0.6417121887207031,4087,2
39,383,281,0.651343047618866,8772,2
40,387,386,0.6381132006645203,7155,2
41,390,389,0.7818636894226074,278,2
42,393,281,0.738377571105957,1167,2
43,404,403,0.7908403277397156,149,8
44,409,407,0.687556266784668,2652,3
45,413,411,0.7698012590408325,248,3
46,417,415,0.7161890268325806,3645,2
47,422,419,0.8879956007003784,9,5
48,428,281,0.7639145255088806,648,4
49,444,439,0.7899199724197388,192,8
50,453,452,0.6805236339569092,7624,7
51,461,457,0.8145281076431274,153,8
52,281,464,0.7320547103881836,1749,2
53,470,286,0.7769429683685303,464,3
54,473,471,0.618552565574646,11395,3
55,482,476,0.7865424752235413,423,7
56,505,502,0.8689582943916321,24,8
57,515,512,0.8897380232810974,8,8
58,429,519,0.8278114199638367,110,3
59,525,524,0.7296212315559387,1022,6
60,530,529,0.7279880046844482,1398,4
61,536,281,0.7588604688644409,727,5
62,543,542,0.754797101020813,376,4
63,550,548,0.7887569665908813,174,7
64,554,281,0.7889803647994995,267,2
65,557,281,0.6258102655410767,13061,2
66,566,565,0.6537442803382874,3524,8
67,572,281,0.7548267841339111,793,4
68,583,281,0.8195428252220154,79,8
69,591,281,0.7087206840515137,2159,6
70,595,281,0.6365143060684204,11331,2
71,602,601,0.7904237508773804,264,4
72,564,281,0.8002199530601501,163,7
73,617,614,0.6213473081588745,13275,8
74,622,621,0.6528432369232178,8138,4
75,281,626,0.7702063322067261,220,2
76,637,281,0.8030968904495239,140,8
77,642,640,0.7975907921791077,73,3
78,47,650,0.760142982006073,2762,8
79,655,281,0.7104709148406982,2073,2
80,677,35,0.7145647406578064,7065,8
81,463,281,0.777022123336792,437,8
82,687,686,0.6490825414657593,5632,2
83,691,689,0.8094040155410767,60,3
84,392,281,0.7887331247329712,271,3
85,698,281,0.6854732632637024,3913,3
86,703,702,0.7593715190887451,408,2
87,713,709,0.7109248042106628,768,8
88,726,719,0.8534172177314758,68,8
89,281,729,0.7597329616546631,160,2
90,536,281,0.7588604688644409,728,2
91,732,281,0.6277815103530884,12774,3
92,281,737,0.7232033014297485,662,3
93,743,281,0.7707506418228149,534,4
94,749,745,0.7785683870315552,366,4
95,755,752,0.6833375692367554,3181,8
96,429,281,0.8200193047523499,77,2
97,758,281,0.6455179452896118,9763,2
98,767,281,0.7622064352035522,676,8
99,777,281,0.923301100730896,7,8
100,762,789,0.6562631130218506,6036,8
101,799,797,0.8044681549072266,61,2
102,802,658,0.7822030186653137,192,2
103,805,804,0.7194091081619263,839,3
104,813,810,0.7655030488967896,2533,6
105,817,816,0.7707998752593994,41,2
106,573,553,0.7846987247467041,305,8
107,833,829,0.7471503019332886,957,8
108,837,281,0.6617909669876099,7049,4
109,842,841,0.7143161296844482,292,3
110,845,844,0.8560366034507751,42,3
111,855,853,0.755165159702301,3925,8
112,748,859,0.7676130533218384,702,3
113,333,281,0.7528848648071289,841,7
114,428,460,0.7669540643692017,442,4
115,873,281,0.636430025100708,11341,3
116,878,877,0.7284176349639893,1138,2
117,414,880,0.8115019798278809,88,2
118,884,883,0.597291111946106,14037,2
119,57,890,0.6971333026885986,1682,6
120,772,892,0.7718430757522583,259,6
121,439,281,0.7600026726722717,710,2
122,281,900,0.6045924425125122,14523,2
123,815,915,0.7809405326843262,356,8
124,924,923,0.7092851996421814,4607,4
125,937,936,0.6836705207824707,714,8
126,942,752,0.6781760454177856,3615,8
127,968,966,0.9301246404647827,2,8
128,973,564,0.7616133093833923,608,5
129,793,281,0.676345944404602,5002,2
130,1018,1016,0.759840726852417,97,8
131,1023,1022,0.935968279838562,1,4
132,1033,1030,0.7673662900924683,2012,8
133,900,1027,0.8242272734642029,473,2
134,1071,1069,0.8107956647872925,84,8
135,1075,1027,0.6589726805686951,13669,2
136,1078,1027,0.8124922513961792,765,3
137,1084,1083,0.7279285192489624,1573,4
138,1095,1091,0.8899394273757935,18,8
139,1099,1027,0.7866977453231812,1848,2
140,1104,1103,0.936572790145874,3,3
141,1116,1115,0.8322739005088806,324,8
142,1121,1027,0.8274270296096802,403,3
143,1133,1128,0.7823591232299805,373,8
144,1138,44,0.774376630783081,1479,6
145,1142,1027,0.7398751974105835,5466,2
146,1148,650,0.7860727310180664,1167,7
147,1169,1164,0.7987951040267944,107,8
148,1176,1027,0.7082681655883789,8533,6
149,288,1180,0.8059507608413696,77,5
150,460,1183,0.7439992427825928,93,2
