user_id,target_item_id,query_item,similarity_to_target,rank,history_length,most_similar_history_item
1,6,1,0.7454977035522461,1237,5,1
2,24,23,0.8293228149414062,55,8,23
3,45,42,0.7103000283241272,1949,8,42
4,50,49,0.6705912351608276,7819,2,49
5,57,1,0.5977503657341003,12265,6,1
6,146,143,0.7974558472633362,192,8,143
7,1,151,0.6307160258293152,15009,3,151
8,156,155,0.59889817237854,13403,2,155
9,156,164,0.6252435445785522,13625,6,164
10,156,173,0.7418532967567444,360,7,173
11,156,177,0.7375431656837463,1686,6,177
12,189,188,0.7372150421142578,702,5,188
13,197,156,0.7010317444801331,1991,7,156
14,158,201,0.620674729347229,14974,3,201
15,223,169,0.846502959728241,20,8,169
16,238,237,0.6738566756248474,3998,8,237
17,245,243,0.7022280693054199,1515,7,243
18,252,156,0.6912230849266052,2493,5,156
19,255,156,0.7004260420799255,2017,2,156
20,260,259,0.9731254577636719,1,4,259
21,266,265,0.7147426009178162,801,4,265
22,272,271,0.6085425615310669,8710,4,271
23,289,288,0.7887541055679321,239,8,288
24,295,293,0.6753989458084106,4975,3,293
25,299,298,0.4791472256183624,18339,2,298
26,303,302,0.6256440281867981,16610,3,302
27,281,305,0.787467360496521,26,2,305
28,309,308,0.6374500393867493,10503,2,308
29,329,327,0.800859808921814,774,8,327
30,281,334,0.7985600233078003,188,3,334
31,339,281,0.637952446937561,11087,3,281
32,343,281,0.7894590497016907,262,2,281
33,347,346,0.9643843173980713,2,2,346
34,362,358,0.6325439810752869,2090,8,358
35,366,365,0.5828322768211365,16044,2,365
36,372,371,0.6917937397956848,1008,3,371
37,376,375,0.6124491691589355,10760,2,375
38,380,379,0.6417121887207031,4087,2,379
39,383,281,0.651343047618866,8772,2,281
40,387,386,0.6381132006645203,7155,2,386
41,390,389,0.7818636894226074,278,2,389
42,393,392,0.6840897798538208,1218,2,392
43,404,400,0.6520555019378662,11098,8,400
44,409,378,0.6258978247642517,13305,3,378
45,413,412,0.5973647832870483,14040,3,412
46,417,416,0.7012158632278442,4554,2,416
47,422,421,0.6476141810417175,2212,5,421
48,428,427,0.7020713090896606,4020,4,427
49,444,281,0.7745538949966431,471,8,281
50,453,451,0.6586042046546936,7261,7,451
51,461,451,0.7591024041175842,530,8,451
52,281,465,0.6654208898544312,3797,2,465
53,470,286,0.7769429683685303,464,3,286
54,473,281,0.6150995492935181,14542,3,281
55,482,481,0.6889227628707886,2333,7,481
56,505,504,0.7526326179504395,413,8,504
57,515,512,0.8897380232810974,8,8,512
58,429,519,0.8278114199638367,110,3,519
59,525,439,0.607406497001648,12187,6,439
60,530,219,0.7255834341049194,1539,4,219
61,536,535,0.6017861366271973,16334,5,535
62,543,542,0.754797101020813,376,4,542
63,550,548,0.7887569665908813,174,7,548
64,554,553,0.7732663154602051,470,2,553
65,557,285,0.5873357057571411,12214,2,285
66,566,565,0.6537442803382874,3524,8,565
67,572,281,0.7548267841339111,793,4,281
68,583,582,0.6333619356155396,5200,8,582
69,591,590,0.5965414047241211,13092,6,590
70,595,594,0.6201934218406677,7581,2,594
71,602,601,0.7904237508773804,264,4,601
72,564,93,0.6361966133117676,8911,7,93
73,617,614,0.6213473081588745,13275,8,614
74,622,621,0.6528432369232178,8138,4,621
75,281,626,0.7702063322067261,220,2,626
76,637,636,0.5654831528663635,17018,8,636
77,642,640,0.7975907921791077,73,3,640
78,47,650,0.760142982006073,2762,8,650
79,655,654,0.61080402135849,10426,2,654
80,677,676,0.7064818143844604,5430,8,676
81,463,281,0.777022123336792,437,8,281
82,687,236,0.5651191473007202,14866,2,236
83,691,690,0.6718254089355469,11668,3,690
84,392,281,0.7887331247329712,271,3,281
85,698,281,0.6854732632637024,3913,3,281
86,703,702,0.7593715190887451,408,2,702
87,713,709,0.7109248042106628,768,8,709
88,726,725,0.6715675592422485,6565,8,725
89,281,26,0.6949692964553833,1384,2,26
90,536,281,0.7588604688644409,728,2,281
91,732,319,0.576121985912323,11982,3,319
92,281,737,0.7232033014297485,662,3,737
93,743,742,0.7607288956642151,810,4,742
94,749,745,0.7785683870315552,366,4,745
95,755,752,0.6833375692367554,3181,8,752
96,429,378,0.818301796913147,70,2,378
97,758,365,0.6444060802459717,6609,2,365
98,767,281,0.7622064352035522,676,8,281
99,777,776,0.71547532081604,567,8,776
100,762,794,0.6423683166503906,8232,8,794
101,799,798,0.7822370529174805,119,2,798
102,802,801,0.747692346572876,2057,2,801
103,805,804,0.7194091081619263,839,3,804
104,813,812,0.7322679758071899,3762,6,812
105,817,816,0.7707998752593994,41,2,816
106,573,553,0.7846987247467041,305,8,553
107,833,829,0.7471503019332886,957,8,829
108,837,281,0.6617909669876099,7049,4,281
109,842,841,0.7143161296844482,292,3,841
110,845,844,0.8560366034507751,42,3,844
111,855,853,0.755165159702301,3925,8,853
112,748,859,0.7676130533218384,702,3,859
113,333,335,0.7284671068191528,377,7,335
114,428,868,0.665977954864502,2957,4,868
115,873,871,0.6195870637893677,9365,3,871
116,878,877,0.7284176349639893,1138,2,877
117,414,880,0.8115019798278809,88,2,880
118,884,883,0.597291111946106,14037,2,883
119,57,890,0.6971333026885986,1682,6,890
120,772,281,0.6665940284729004,6302,6,281
121,439,536,0.69487464427948,834,2,536
122,281,900,0.6045924425125122,14523,2,900
123,815,915,0.7809405326843262,356,8,915
124,924,281,0.6636120676994324,6767,4,281
125,937,281,0.6026136875152588,15942,8,281
126,942,649,0.629156231880188,11508,8,649
127,968,964,0.8050816655158997,205,8,964
128,973,281,0.7584640979766846,734,5,281
129,793,975,0.5934672951698303,9861,2,975
130,1018,1017,0.6007648706436157,16456,8,1017
131,1023,1022,0.935968279838562,1,4,1022
132,1033,1032,0.7160041332244873,3437,8,1032
133,900,1034,0.7550777196884155,1807,2,1034
134,1071,1069,0.8107956647872925,84,8,1069
135,1075,1027,0.6589726805686951,13669,2,1027
136,1078,820,0.7038705945014954,2686,3,820
137,1084,1083,0.7279285192489624,1573,4,1083
138,1095,1094,0.8829734325408936,33,8,1094
139,1099,1098,0.7173255681991577,2608,2,1098
140,1104,1103,0.936572790145874,3,3,1103
141,1116,1115,0.8322739005088806,324,8,1115
142,1121,1120,0.7127741575241089,4866,3,1120
143,1133,1027,0.7180876731872559,7558,8,1027
144,1138,1137,0.7585629224777222,3208,6,1137
145,1142,1141,0.7061395049095154,5205,2,1141
146,1148,650,0.7860727310180664,1167,7,650
147,1169,1027,0.7489058375358582,4653,8,1027
148,1176,1175,0.6902008652687073,6472,6,1175
149,288,1182,0.6166433095932007,12396,5,1182
150,460,1183,0.7439992427825928,93,2,1183
151,1191,1190,0.5934902429580688,15107,5,1190
152,1198,1197,0.5725582838058472,17187,6,1197
153,1212,1207,0.719480574131012,6096,8,1207
154,1224,1223,0.7390992641448975,1413,8,1223
155,1229,1228,0.6113061904907227,10238,3,1228
156,1226,1231,0.7065520882606506,1441,2,1231
157,1235,1234,0.6997080445289612,3705,2,1234
158,1240,371,0.5888888835906982,8982,4,371
159,1251,1248,0.7196406126022339,808,8,1248
160,1255,1254,0.5795236825942993,15649,3,1254
161,1259,392,0.6458693742752075,2960,3,392
162,1255,1261,0.6503130793571472,3919,3,1261
163,441,950,0.6817983388900757,2801,2,950
164,1270,1265,0.7809816002845764,1573,7,1265
165,1280,1279,0.7469868659973145,233,8,1279
166,1297,1242,0.6378248333930969,9303,8,1242
167,1246,1300,0.7159271240234375,799,3,1300
168,1311,1310,0.8234989643096924,34,8,1310
169,1262,1316,0.7833181619644165,215,4,1316
170,1371,1282,0.684977650642395,1080,8,1282
171,1317,1282,0.8167279958724976,33,5,1282
172,1424,1422,0.8939244151115417,2,8,1422
173,1438,711,0.6188019514083862,11737,8,711
174,1317,1282,0.8167279958724976,33,8,1282
175,1486,1485,0.6616349220275879,3587,8,1485
176,1491,1490,0.9310104846954346,1,4,1490
177,1518,1517,0.8479508757591248,11,8,1517
178,1311,1527,0.7424159049987793,559,8,1527
179,1546,1545,0.6261861324310303,13749,8,1545
180,1554,1552,0.8364442586898804,35,8,1552
181,1558,1557,0.7375384569168091,1980,5,1557
182,1564,1563,0.5765401721000671,11589,4,1563
183,1252,1566,0.6248915195465088,13360,3,1566
184,1282,1053,0.6251589059829712,6945,3,1053
185,1224,237,0.7310342788696289,1626,8,237
186,1649,1648,0.6361901760101318,11855,3,1648
187,538,1647,0.6661744117736816,9492,8,1647
188,1661,1660,0.7636200189590454,160,2,1660
189,1681,1680,0.6391253471374512,15034,8,1680
190,1709,629,0.8231537938117981,265,8,629
191,1713,1647,0.7122790813446045,3958,4,1647
192,1110,1716,0.7615649700164795,918,3,1716
193,1725,1724,0.7400851249694824,1140,6,1724
194,1017,1728,0.7642180919647217,295,4,1728
195,1711,1647,0.9359488487243652,7,2,1647
196,574,1749,0.6731635332107544,2964,8,1749
197,1765,1764,0.6975682973861694,2320,8,1764
198,1776,1775,0.860816478729248,77,8,1775
199,1647,432,0.8900238275527954,31,3,432
200,1784,1783,0.6756365299224854,3611,4,1783
201,1793,1792,0.6762362718582153,4908,8,1792
202,1586,1795,0.6631442308425903,3251,6,1795
203,1809,1808,0.664968729019165,10306,8,1808
204,1814,1813,0.539925217628479,15083,4,1813
205,1820,966,0.6490478515625,10044,6,966
206,1831,1830,0.7288360595703125,1556,8,1830
207,1845,1844,0.752169132232666,52,8,1844
208,236,1848,0.6706633567810059,9389,2,1848
209,1852,1851,0.732254683971405,2125,2,1851
210,1827,1856,0.7503079175949097,137,4,1856
211,1874,1871,0.7384705543518066,1700,8,1871
212,1885,1884,0.7417441606521606,1266,8,1884
213,1898,1897,0.6621112823486328,10460,8,1897
214,925,547,0.6930117607116699,3500,8,547
215,1912,1910,0.5784375667572021,14320,5,1910
216,1924,1918,0.8633361458778381,19,8,1918
217,1296,1303,0.7566059827804565,200,6,1303
218,1935,1934,0.7247636318206787,3956,6,1934
219,1937,432,0.7033456563949585,3154,2,432
220,1942,1941,0.6365216970443726,4303,4,1941
221,1945,1710,0.6472508907318115,11413,2,1710
222,1956,1954,0.7632626891136169,1991,8,1954
223,1281,1947,0.7576717138290405,152,3,1947
224,1967,1966,0.6590725183486938,3713,8,1966
225,1971,1970,0.7080497145652771,2578,3,1970
226,1236,1947,0.7403533458709717,259,2,1947
227,1978,1977,0.627347469329834,4613,3,1977
228,1980,564,0.7605842351913452,619,4,564
229,2015,2013,0.7882612943649292,265,8,2013
230,2028,2027,0.6135785579681396,9994,8,2027
231,2032,1245,0.6313532590866089,10032,6,1245
232,2039,2037,0.8040382862091064,949,5,2037
233,2042,1582,0.7747647762298584,110,2,1582
234,2046,1055,0.8204385042190552,246,4,1055
235,2050,2049,0.7264569997787476,932,5,2049
236,35,2052,0.7993500232696533,237,2,2052
237,2056,2054,0.7221039533615112,4117,2,2054
238,2062,2061,0.8012584447860718,328,4,2061
239,1546,1776,0.5767155885696411,17462,3,1776
240,2054,2067,0.7265757918357849,3415,3,2067
241,2072,2071,0.8235336542129517,119,4,2071
242,2082,2079,0.7416418790817261,3724,8,2079
243,315,2096,0.6655789017677307,5709,8,2096
244,2054,2099,0.5953668355941772,14474,3,2099
245,820,2100,0.7261964082717896,4540,3,2100
246,2106,2105,0.7619798183441162,932,4,2105
247,2121,2114,0.6918619871139526,2565,8,2114
248,2139,1211,0.787092924118042,853,8,1211
249,2146,2142,0.7367736101150513,4650,6,2142
250,2152,2150,0.7309737205505371,4092,4,2150
251,1778,1685,0.8829957842826843,12,8,1685
252,2175,853,0.7883461117744446,1382,8,853
253,2069,2180,0.5581000447273254,14942,5,2180
254,2186,2185,0.6998186707496643,4911,6,2185
255,2229,2226,0.6939277648925781,4378,8,2226
256,900,1060,0.7853051424026489,509,8,1060
257,2237,1054,0.7067129611968994,4933,3,1054
258,1439,1149,0.7603716850280762,1337,8,1149
259,2249,20,0.6296932697296143,12714,6,20
260,2264,2263,0.6579786539077759,7080,8,2263
261,2271,2270,0.6461586356163025,3983,8,2270
262,1139,2280,0.6832848787307739,4181,8,2280
263,1054,2293,0.7468714714050293,2522,8,2293
264,2306,2305,0.7706436514854431,1066,8,2305
265,2322,2321,0.6685947775840759,8899,8,2321
266,2327,2326,0.6647641658782959,8979,5,2326
267,2334,124,0.7584093809127808,989,7,124
268,2337,2336,0.7405850291252136,2230,2,2336
269,2341,2340,0.582631528377533,15183,3,2340
270,2352,1063,0.6619689464569092,12146,8,1063
271,2364,1054,0.7182648181915283,3859,8,1054
272,1411,2380,0.6241018772125244,10578,8,2380
273,2391,2386,0.7933250665664673,1615,8,2386
274,2395,2394,0.7958765625953674,812,3,2394
275,2397,403,0.722996711730957,1030,2,403
276,2401,1054,0.7441669702529907,1693,2,1054
277,2405,2403,0.7648889422416687,1198,4,2403
278,2410,2055,0.7670979499816895,1283,5,2055
279,2479,2478,0.6758183240890503,6525,8,2478
280,820,1932,0.7457167506217957,2126,4,1932
281,2484,2107,0.6655774116516113,5412,4,2107
282,595,224,0.7197954654693604,599,8,224
283,1054,1652,0.7772705554962158,1734,2,1652
284,534,2495,0.7202112674713135,959,8,2495
285,2496,253,0.7003639936447144,2674,2,253
286,836,651,0.7176190614700317,3760,6,651
287,2129,657,0.7522032260894775,2068,5,657
288,2532,2527,0.7924812436103821,1805,8,2527
289,2537,2536,0.6380577683448792,9480,6,2536
290,2557,2556,0.6315065026283264,14869,8,2556
291,2562,2561,0.648309588432312,10668,5,2561
292,820,1054,0.6989916563034058,5624,6,1054
293,2100,2569,0.8379030227661133,96,4,2569
294,2573,122,0.6811436414718628,7085,7,122
295,2576,1797,0.7171922922134399,2633,2,1797
296,2588,2587,0.7002800107002258,3884,8,2587
297,2113,2594,0.665346622467041,6876,7,2594
298,1050,946,0.7339651584625244,3672,6,946
299,2601,2600,0.6082390546798706,12346,2,2600
300,2605,1054,0.8119556307792664,76,4,1054
301,2238,2607,0.6687155365943909,6532,3,2607
302,2612,2610,0.6607292890548706,3986,4,2610
303,2617,2616,0.7745327949523926,1087,5,2616
304,2628,45,0.7827362418174744,268,8,45
305,2634,1032,0.7443952560424805,1443,6,1032
306,314,1074,0.6513315439224243,8282,2,1074
307,2640,85,0.6561412811279297,6336,2,85
308,2646,1054,0.7330045700073242,2507,8,1054
309,2650,2649,0.760132908821106,1673,2,2649
310,94,34,0.7782303094863892,322,8,34
311,45,2334,0.744613766670227,2435,8,2334
312,1773,2697,0.6445167064666748,7887,2,2697
313,130,2701,0.6056389212608337,10123,5,2701
314,23,1054,0.7345371246337891,2389,4,1054
315,2317,97,0.7690037488937378,1473,8,97
316,1932,2729,0.6964277029037476,3426,8,2729
317,2138,2732,0.6750993132591248,9794,3,2732
318,1525,836,0.5927388072013855,14688,2,836
319,2743,2741,0.7349019050598145,3592,8,2741
320,1054,106,0.7526545524597168,2868,2,106
321,2749,2748,0.7126583456993103,3423,3,2748
322,2753,2752,0.7017443180084229,6473,3,2752
323,2138,86,0.6654226183891296,4854,3,86
324,2784,2505,0.7177226543426514,2787,8,2505
325,2789,2788,0.616321325302124,11993,3,2788
326,899,131,0.8296849131584167,21,8,131
327,2812,2811,0.6095635890960693,16121,8,2811
328,2190,2827,0.8068719506263733,610,8,2827
329,1054,948,0.7458486557006836,2771,3,948
330,2833,909,0.5476271510124207,17202,8,909
331,2837,2836,0.8594421744346619,16,2,2836
332,2840,2839,0.6541017293930054,8499,3,2839
333,20,2847,0.6823468208312988,6102,8,2847
334,2850,1054,0.7031497955322266,5230,3,1054
335,2869,707,0.7885207533836365,508,8,707
336,1029,2888,0.7200907468795776,4410,8,2888
337,2893,2892,0.7394337058067322,1393,2,2892
338,2903,2899,0.756443440914154,1276,8,2899
339,1054,1120,0.7155771851539612,4601,2,1120
340,138,2912,0.8455174565315247,22,8,2912
341,2915,1030,0.7737661600112915,1633,2,1030
342,2340,122,0.7340325117111206,3749,2,122
343,1054,2920,0.7259165048599243,3212,2,2920
344,2951,2948,0.614020586013794,8009,8,2948
345,2063,820,0.6908649802207947,3588,2,820
346,2961,2960,0.6723902225494385,4473,8,2960
347,2156,956,0.7642098665237427,942,2,956
348,2974,2863,0.7424275875091553,3437,8,2863
349,2976,946,0.8335117101669312,94,3,946
350,2993,2992,0.8146214485168457,498,8,2992
351,1054,2777,0.7205131649971008,5379,6,2777
352,820,2794,0.7283097505569458,2963,2,2794
353,1054,925,0.6923351287841797,4645,2,925
354,1054,3003,0.7787569165229797,2038,5,3003
355,3009,1812,0.5629566311836243,17949,3,1812
356,2751,2719,0.7334840297698975,4319,8,2719
357,1045,3015,0.7169056534767151,5526,4,3015
358,3020,3019,0.5818471908569336,13089,2,3019
359,3023,1054,0.7487392425537109,1365,3,1054
360,3026,1785,0.7666383981704712,269,2,1785
361,691,3031,0.7224432229995728,4169,6,3031
362,3037,2770,0.7005254030227661,4359,7,2770
363,3043,2238,0.8133617639541626,260,8,2238
364,3070,2461,0.7311787605285645,903,8,2461
365,3083,733,0.8595144748687744,22,8,733
366,3086,1054,0.7505106329917908,1247,3,1054
367,463,3089,0.6696286201477051,9050,3,3089
368,1054,3093,0.6720978021621704,2482,2,3093
369,3096,3095,0.8372447490692139,79,3,3095
370,153,1054,0.7962353229522705,118,8,1054
371,3120,2915,0.7481591701507568,1717,8,2915
372,3135,3133,0.7682124376296997,807,8,3133
373,3142,3141,0.7699912786483765,307,5,3141
374,619,3145,0.7584641575813293,916,5,3145
375,3148,3138,0.671560525894165,4092,2,3138
376,455,2952,0.7299524545669556,1694,8,2952
377,3165,3164,0.6275541186332703,3322,4,3164
378,3169,3168,0.8884980082511902,21,4,3168
379,3176,3172,0.6128696203231812,15186,4,3172
380,3180,3179,0.783289909362793,49,7,3179
381,3187,3186,0.7304432392120361,3485,6,3186
382,1946,1796,0.6662969589233398,4399,8,1796
383,3197,3172,0.6443102359771729,8518,4,3172
384,3172,3198,0.7870625257492065,111,4,3198
385,3035,3202,0.6390607357025146,11491,4,3202
386,3207,3172,0.8236208558082581,48,4,3172
387,3211,3179,0.83659428358078,5,6,3179
388,3218,1045,0.6224726438522339,14840,8,1045
389,1293,2065,0.5923937559127808,6555,2,2065
390,1375,2065,0.6221287250518799,2550,6,2065
391,3245,3244,0.6993311047554016,1292,8,3244
392,2713,3249,0.5756455659866333,17022,3,3249
