user_id,target_item_id,query_item,similarity_to_target,rank,history_length,most_similar_history_item
1,3,2,0.6885637044906616,4970,2,2
2,10,8,0.8113576173782349,48,4,8
3,17,16,0.698457658290863,8124,6,16
4,23,20,0.7771735787391663,416,3,20
5,30,28,0.7800697088241577,890,6,28
6,47,46,0.7320482134819031,4232,8,46
7,54,53,0.6607090830802917,6462,4,53
8,58,57,0.6370196342468262,11100,2,57
9,81,80,0.6121460199356079,10978,8,80
10,89,88,0.6812068819999695,10385,7,88
11,95,83,0.6185402870178223,12039,4,83
12,102,83,0.7630105018615723,2614,6,83
13,107,106,0.8068881034851074,230,3,106
14,114,83,0.8228477239608765,55,6,83
15,120,118,0.7005687952041626,6976,4,118
16,83,124,0.7694098949432373,756,2,124
17,83,128,0.6471875905990601,6130,2,128
18,133,132,0.8127406239509583,233,3,132
19,141,140,0.6889536380767822,10143,6,140
20,177,175,0.6200759410858154,11789,8,175
21,183,182,0.8298889994621277,208,5,182
22,194,193,0.6663371324539185,8209,8,193
23,206,205,0.8038378357887268,250,8,205
24,212,211,0.7181026339530945,2879,6,211
25,231,230,0.7496670484542847,2071,8,230
26,238,236,0.8338105082511902,78,6,236
27,235,315,0.8397708535194397,41,8,315
28,214,323,0.6902718544006348,1119,6,323
29,338,335,0.7051823139190674,6791,8,335
30,347,346,0.7364294528961182,2140,6,346
31,351,350,0.7597463726997375,2650,2,350
32,423,416,0.7832775115966797,1245,8,416
33,432,419,0.9381259083747864,1,8,419
34,85,356,0.721612811088562,2494,8,356
35,454,449,0.7041877508163452,6829,8,449
36,470,466,0.9280964136123657,3,8,466
37,476,475,0.7262341380119324,5686,4,475
38,480,460,0.7412761449813843,3182,3,460
39,460,485,0.8123546838760376,703,3,485
40,496,495,0.7537086606025696,2260,8,495
41,500,499,0.8132575750350952,108,2,499
42,507,506,0.7244535088539124,4028,7,506
43,517,516,0.6451818943023682,9829,7,516
44,562,561,0.7513481974601746,700,8,561
45,567,460,0.6652780771255493,9823,3,460
46,571,570,0.6712687015533447,6779,2,570
47,578,577,0.7081916332244873,3124,5,577
48,460,583,0.8280233144760132,53,3,583
49,592,591,0.6229528188705444,9029,8,591
50,612,477,0.959636390209198,1,8,477
51,620,617,0.7899216413497925,78,6,617
52,169,419,0.8551377654075623,19,4,419
53,629,628,0.7644373774528503,840,6,628
54,642,636,0.8360971212387085,15,8,636
55,649,648,0.7158634662628174,1968,5,648
56,8,447,0.7765499949455261,342,7,447
57,659,88,0.7829329967498779,2028,4,88
58,667,666,0.6849191188812256,2908,6,666
59,673,670,0.7765708565711975,867,4,670
60,680,679,0.7518446445465088,775,5,679
61,684,683,0.7251113057136536,1448,2,683
62,689,688,0.6680302619934082,10814,3,688
63,712,711,0.7489818334579468,3061,8,711
64,471,717,0.7485088109970093,3210,6,717
65,666,726,0.6644037961959839,10877,7,726
66,666,730,0.6667875051498413,6887,2,730
67,736,735,0.7318335771560669,3668,3,735
68,741,740,0.7475544810295105,258,4,740
69,745,744,0.6060791015625,8647,2,744
70,666,772,0.7037657499313354,6709,8,772
71,776,775,0.769862711429596,2469,2,775
72,99,198,0.5531042218208313,12092,2,198
73,786,785,0.7534704804420471,1364,6,785
74,793,788,0.7161853313446045,2256,7,788
75,796,795,0.5825945734977722,11989,2,795
76,799,798,0.5970947742462158,11608,2,798
77,804,803,0.8657366633415222,25,3,803
78,808,807,0.6844571828842163,3779,2,807
79,822,820,0.8034476041793823,71,8,820
80,833,832,0.7368717193603516,5712,8,832
81,857,856,0.6702519655227661,5498,8,856
82,863,301,0.8230765461921692,198,8,301
83,876,875,0.7123369574546814,5550,8,875
84,883,882,0.7711344957351685,828,8,882
85,8,892,0.7545233964920044,2211,8,892
86,889,669,0.7266848087310791,3481,6,669
87,954,952,0.7831698060035706,752,8,952
88,900,961,0.6257070302963257,11828,8,961
89,965,889,0.7047476768493652,3318,3,889
90,974,973,0.677192211151123,6079,7,973
91,345,977,0.8254518508911133,128,3,977
92,900,983,0.7000311613082886,9152,8,983
93,624,991,0.766420841217041,1321,8,991
94,1009,1008,0.751171350479126,2078,8,1008
95,1032,1031,0.7772945165634155,477,8,1031
96,1077,1076,0.7134460806846619,5375,8,1076
97,1081,1080,0.7307723164558411,1093,2,1080
